option_name,autoload,size_bytes,owner,active_owner,recommended_action,confidence,rollback,notes
_transient_wc_report_orders_stats_4e739a442130cf36d47f2cc522b91e21,off,3466,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
widget_custom_html,yes,3175,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
jetpack_plugin_api_action_links,yes,3022,jetpack,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 3022B from inactive plugin
um_cache_userdata_20,off,2941,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
_elementor_pro_license_v2_data_fallback,off,2926,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
_elementor_pro_license_v2_data,off,2926,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
rank-math-options-sitemap,on,2922,seo-by-rank-math,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_wc_report_orders_stats_60f6b337f4bd1b17f634b4721cfc5f46,off,2887,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_wc_report_orders_stats_ecd087396cfe2048a4e2bb55eb62d32c,off,2887,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_wc_report_orders_stats_3c1f89943993cc7118a8115254c7cad0,off,2887,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_wc_report_orders_stats_8818d14cdcd7d3ea9850a7241cd575bd,off,2887,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
_site_transient_community-events-d41d8cd98f00b204e9800998ecf8427e,off,2667,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
elementor_import_sessions,no,2590,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
uninstall_plugins,no,2395,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_wc_report_products_stats_0e8c46df7a6a906ded6abf4c2facd6d8,off,2333,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woo_mailerlite_options,auto,2262,woo-mailerlite,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 2262B from inactive plugin
_transient_wc_report_variations_stats_e0f468198d879518a5d1cf14f4fa3e1b,off,2172,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_bvos_custom_gotowe-do-odbioru_settings,on,2132,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
st_attachments,off,2126,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
monsterinsights_settings,yes,2111,monsterinsights,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 2111B from inactive plugin
um_cache_userdata_23,off,2096,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
_site_transient_update_core,off,2029,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
wpsr_social_icons_settings,yes,2028,wp-reviews-google,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 2028B from inactive plugin
_transient__woocommerce_helper_subscriptions,off,2021,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
optml_settings,off,2016,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
_transient_wc_report_products_stats_a4bbed4b00616010da3975b7f72c40e3,off,1932,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_wc_report_products_stats_f756dc457feae0fc7145018c43128c84,off,1932,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
jpsq_sync-1718900472.724239-554242-1,no,1926,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
um_cache_userdata_40,off,1874,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
um_cache_userdata_41,off,1868,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
elementor_remote_info_feed_data,off,1865,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
um_cache_userdata_39,off,1862,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
_transient_wc_report_variations_stats_b25b95417fa67f1b260b1b190b1976c4,off,1797,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_wc_report_variations_stats_01a7045ecab1e85989da1b23d728c2ff,off,1797,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
elementor_custom_icon_sets_config,auto,1720,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 1720B from inactive plugin
yit_wcan_options,yes,1671,yith-woocommerce-wishlist,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 1671B from inactive plugin
mfrh_options,no,1609,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
cookie_notice_options,no,1593,cookie-notice,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wp-smush-preset_configs,off,1520,wp-smushit,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wcpa_designs_key,auto,1508,woo-custom-product-addons,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 1508B from inactive plugin
wp_mail_smtp,off,1503,wp-mail-smtp,no,BLOCKED,medium,Restore from app/sql/local.sql,
wpassetcleanup_settings,off,1492,wp-asset-clean-up,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
forminator_mailerlite_eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJhdWQiOiI0IiwianRpIjoiNGI1YTZlYjI5Y2NkYTc5M2YzYmJjNjRiMGM0MmI1M2VlZTZjMDAyMWVmNjlkNzQ3NmM4MWIzNGU2YjY3NDU2ODAyN2JlZWMwNWIxZmJiNjci,auto,1459,woo-mailerlite,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 1459B from inactive plugin
bvAccountsList,off,1427,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
ultimate_modules,yes,1401,unknown,no,REVIEW,low,Restore from app/sql/local.sql,Autoloaded 1401B from inactive plugin
recently_activated,off,1382,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
_transient__woocommerce_helper_product_usage_notice_rules,off,1365,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
theme_mods_astra,off,1289,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
w3tc_stats_history,no,1284,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
elementor_pro_theme_builder_conditions,yes,1261,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 1261B from inactive plugin
woo_inpost_organisation,auto,1243,inpost-for-woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
inpost_pl_organisation_services,auto,1243,inpost-for-woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woo_feed_settings,off,1236,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
woocommerce_przelewy24_pln_settings,on,1227,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
_transient__woocommerce_helper_updates,off,1223,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_wc_term_counts,off,1199,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
rank_math_sitemap_cache_files,auto,1196,seo-by-rank-math,yes,KEEP,high,Restore from app/sql/local.sql,
wcpa_settings_key,auto,1179,woo-custom-product-addons,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 1179B from inactive plugin
apsl-lite-settings,yes,1139,unknown,no,REVIEW,low,Restore from app/sql/local.sql,Autoloaded 1139B from inactive plugin
adbc_plugin_settings,off,1123,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
googlesitekitpersistent_remote_features,auto,1117,unknown,no,REVIEW,low,Restore from app/sql/local.sql,Autoloaded 1117B from inactive plugin
forminator_addon_mailerlite_settings,auto,1092,woo-mailerlite,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 1092B from inactive plugin
easypack_token,on,1078,inpost-for-woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
easypack_geowidget_production_token,on,1049,inpost-for-woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
theme_mods_generatepress,off,1031,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
taxopress_autoterms,auto,1018,taxopress,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,Autoloaded 1018B from inactive plugin
w3tc_minify_2bdbe,no,1009,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
rank_math_google_oauth_tokens,auto,1003,seo-by-rank-math,yes,KEEP,high,Restore from app/sql/local.sql,
theme_mods_hello-elementor,off,999,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
elementor_pro_mailerlite_api_key,yes,988,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_woocommerce_payments_settings,yes,969,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_rank_math_feed_posts_v2,off,956,seo-by-rank-math,yes,KEEP,high,Restore from app/sql/local.sql,
wp-smush-lazy_load,auto,928,wp-smushit,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_mailerlite_settings,on,927,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
sidebars_widgets,yes,914,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
w3tc_minify_adb7a,no,889,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
_transient_dash_v2_5ed7e1a5d79caaf375d35c33f6782653,off,886,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
wpseo_social,yes,885,wordpress-seo,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_woocommerce_payments_bancontact_settings,yes,885,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_woocommerce_payments_sepa_debit_settings,yes,885,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_woocommerce_payments_giropay_settings,yes,885,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_woocommerce_payments_sofort_settings,yes,885,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_woocommerce_payments_p24_settings,yes,885,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_woocommerce_payments_ideal_settings,yes,885,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_woocommerce_payments_au_becs_debit_settings,yes,885,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_woocommerce_payments_eps_settings,yes,885,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_woocommerce_payments_link_settings,yes,885,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_woocommerce_payments_affirm_settings,yes,885,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_woocommerce_payments_afterpay_clearpay_settings,yes,885,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_woocommerce_payments_klarna_settings,yes,885,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
taxopress_autolinks,auto,882,taxopress,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_dotpay_settings,yes,874,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
limit_login_retries_stats,no,863,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
updraft_googledrive,on,840,updraftplus,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
PMXI_Plugin_Options,off,831,wp-all-import-pro,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
elementor_disabled_elements,yes,817,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_003f8,no,815,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_40d72,no,814,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_f560f,no,802,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_paypal_settings,yes,798,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
wp_smush_image_sizes_state,yes,764,wp-smushit,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
berocket_admin_notices,yes,762,woocommerce-ajax-filters,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wp-smush-settings,yes,755,wp-smushit,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
PMXE_Plugin_Options,auto,751,wp-all-export-pro,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wpmc_options,off,751,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
loco_settings,yes,740,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
w3tc_minify_02447,no,732,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_90b7c,no,732,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_ad1b1,no,732,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_2a7fb,no,732,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_06fd6,no,732,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
_elementor_local_google_fonts,auto,724,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wpsr_followbar_settings,yes,716,wp-reviews-google,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_imoje_settings,on,711,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
yith_system_info,yes,685,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
w3tc_minify_ae95d,no,685,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_3794b,no,682,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_dadab,no,682,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_7ab67,no,682,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_3a0e2,no,682,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_bdb9d,no,682,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_b5044,no,672,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
rank_math_analytics_all_services,auto,670,seo-by-rank-math,yes,KEEP,high,Restore from app/sql/local.sql,
ai-image-alt-text-generator-for-wp,yes,666,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
woocommerce_imoje_paylater_settings,on,650,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
taxopress_tagclouds,auto,647,taxopress,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
theme_mods_twentytwentyfour,off,646,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_imoje_wallet_settings,on,642,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_imoje_blik_settings,on,639,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_imoje_cards_settings,on,637,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_easypack_parcel_machines_6_settings,on,636,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
w3tc_minify_994ed,no,628,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
elementor_checklist,auto,626,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_google_analytics_settings,yes,625,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_imoje_visa_settings,on,624,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
w3tc_minify_c5650,no,607,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_imoje_installments_settings,on,607,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
code_snippets_settings,yes,596,code-snippets,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_0a1a1,no,591,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_fc079,no,584,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
recently_edited,no,580,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
woopay_incompatible_extensions,yes,564,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
widget_woocommerce_products,yes,555,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
w3tc_minify_7d0b9,no,545,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
objectcache_flushlog,no,542,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
w3tc_minify_a94d6,no,537,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_af4a7,no,530,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
um_role_subscriber_meta,auto,530,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
um_role_author_meta,auto,530,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
um_role_contributor_meta,auto,530,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
um_role_editor_meta,auto,530,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
um_role_administrator_meta,auto,528,ultimate-member,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
fs_active_plugins,yes,523,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
adt_temp_product_feed,off,522,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
user_registration_admin_notice_select_my_account,auto,506,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
_site_transient_update_themes,off,503,wordpress-core,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_bacs_settings,yes,488,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
rlrsssl_options,yes,484,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
cmplz_newsletter_consent_consentdata,off,484,complianz-gdpr,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
_transient_wc_related_47832,off,472,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
_transient_wc_related_47827,off,472,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
woocommerce_imoje_pbl_settings,on,469,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
cmplz_wsc_consent_consentdata,off,465,complianz-gdpr,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_0deb0,no,462,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
googlesitekit_credentials,auto,444,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
rank_math_notifications,auto,443,seo-by-rank-math,yes,KEEP,high,Restore from app/sql/local.sql,
cky_settings,yes,439,cookie-law-info,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
inpost_paczkomaty_options,yes,437,inpost-for-woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
w3tc_state,no,435,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
taxopress_relatedposts,auto,427,taxopress,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
limit_login_logged,no,418,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
gla_ads_account_state,yes,406,google-listings-and-ads,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_1b784,no,403,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
w3tc_minify_5413e,no,403,w3-total-cache,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
woocommerce_gateway_order,yes,400,woocommerce,yes,KEEP,high,Restore from app/sql/local.sql,
elementor_install_history,yes,398,elementor,no,PURGE-CANDIDATE,medium,Restore from app/sql/local.sql,
wcbv_status_default,auto,398,unknown,no,REVIEW,low,Restore from app/sql/local.sql,
